,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,The Trial of the Chicago 7,2020,7.9,76.0,53254,,129
1,Halloween,1978,7.8,87.0,230016,47.0,91
2,Tenet,2020,7.8,69.0,144006,53.8,150
3,The Untouchables,1987,7.9,79.0,276833,76.27,119
4,The Nightmare Before Christmas,1993,8.0,82.0,293376,75.08,76
5,The Gentlemen,2019,7.8,51.0,203197,,113
6,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,640320,317.58,152
7,V for Vendetta,2005,8.2,62.0,1019746,70.51,132
8,Goldfinger,1964,7.7,87.0,170835,51.08,110
9,Knives Out,2019,7.9,82.0,413547,165.36,130
10,The Shining,1980,8.4,66.0,883512,44.02,146
11,Parasite,2019,8.6,96.0,505189,53.37,132
12,The Hunt for Red October,1990,7.6,58.0,177776,122.01,135
13,Indiana Jones and the Last Crusade,1989,8.2,65.0,683417,197.17,127
14,Once Upon a Time... In Hollywood,2019,7.6,83.0,527318,142.5,161
15,Coco,2017,8.4,81.0,363802,209.73,105
16,The Name of the Rose,1986,7.7,54.0,100727,7.15,130
17,The Godfather,1972,9.2,100.0,1590746,134.97,175
18,1917,2019,8.3,78.0,388130,159.23,119
19,The Man Who Would Be King,1975,7.8,91.0,43887,,129
20,The Exorcist,1973,8.0,81.0,359027,232.91,122
21,Joker,2019,8.5,59.0,893130,335.45,122
22,Avengers: Endgame,2019,8.4,78.0,778442,858.37,181
23,The Silence of the Lambs,1991,8.6,85.0,1250089,130.74,118
24,Get Out,2017,7.7,85.0,481658,176.04,104
25,The Shawshank Redemption,1994,9.3,80.0,2304884,28.34,142
26,Interstellar,2014,8.6,74.0,1476075,188.02,169
27,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,904930,112.0,133
28,Ghostbusters,1984,7.8,71.0,351156,238.63,105
29,Rebecca,1940,8.1,86.0,121863,4.36,130
30,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,350713,190.24,117
31,Hamilton,2020,8.6,90.0,46181,,160
32,Goodfellas,1990,8.7,90.0,1003384,46.84,146
33,Back to the Future,1985,8.5,87.0,1040346,210.61,116
34,The Wolf of Wall Street,2013,8.2,75.0,1158160,116.9,180
35,Pulp Fiction,1994,8.9,94.0,1799104,107.93,154
36,Inglourious Basterds,2009,8.3,69.0,1244755,120.54,153
37,The Dark Knight,2008,9.0,84.0,2268269,534.86,152
38,The Thing,1982,8.1,57.0,365855,13.78,109
39,Little Women,2019,7.8,91.0,130794,108.1,135
40,Harry Potter and the Goblet of Fire,2005,7.7,81.0,537895,290.01,157
41,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1635106,315.54,178
42,Titanic,1997,7.8,75.0,1031705,659.33,194
43,Love Actually,2003,7.6,55.0,418449,59.7,135
44,Blade Runner 2049,2017,8.0,81.0,449842,92.05,164
45,Inception,2010,8.8,74.0,2030354,292.58,148
46,Dazed and Confused,1993,7.6,78.0,163190,7.99,102
47,Ford v Ferrari,2019,8.1,81.0,271505,117.62,152
48,The Matrix,1999,8.7,73.0,1649707,171.48,136
49,Alien,1979,8.4,89.0,777367,78.9,117
50,Jojo Rabbit,2019,7.9,58.0,272726,0.35,108
51,The Big Lebowski,1998,8.1,71.0,722118,17.5,117
52,A Clockwork Orange,1971,8.3,77.0,747832,6.21,136
53,Se7en,1995,8.6,65.0,1419921,100.13,127
54,Moneyball,2011,7.6,87.0,362241,75.61,133
55,Zodiac,2007,7.7,78.0,453858,33.08,157
56,Casino Royale,2006,8.0,80.0,575338,167.45,144
57,Psycho,1960,8.5,97.0,595348,32.0,109
58,Apocalypse Now,1979,8.4,94.0,597727,83.47,147
59,Coraline,2009,7.7,80.0,194730,75.29,100
60,Fargo,1996,8.1,85.0,607786,24.61,98
61,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,751627,381.01,130
62,Fight Club,1999,8.8,66.0,1826551,37.03,139
63,Forrest Gump,1994,8.8,82.0,1776359,330.25,142
64,The Prestige,2006,8.5,66.0,1169571,53.09,130
65,The Departed,2006,8.5,85.0,1171637,132.38,151
66,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,541188,249.36,142
67,The Fifth Element,1997,7.7,52.0,429161,63.54,126
68,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1214376,322.74,121
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,445117,0.28,95
70,Edward Scissorhands,1990,7.9,74.0,441940,56.36,105
71,Home Alone,1990,7.6,63.0,456179,285.76,103
72,Young Frankenstein,1974,8.0,80.0,141882,86.3,106
73,Mad Max: Fury Road,2015,8.1,90.0,866623,154.06,120
74,Full Metal Jacket,1987,8.3,76.0,665602,46.36,116
75,Léon: The Professional,1994,8.5,64.0,1019046,19.5,110
76,Raiders of the Lost Ark,1981,8.4,85.0,873161,248.16,115
77,About Time,2013,7.8,55.0,294482,15.32,123
78,Gladiator,2000,8.5,67.0,1321413,187.71,155
79,The Dark Knight Rises,2012,8.4,78.0,1495798,448.14,164
80,Ocean's Eleven,2001,7.7,74.0,509034,183.42,116
81,Django Unchained,2012,8.4,81.0,1333916,162.81,165
82,The Godfather: Part II,1974,9.0,90.0,1111413,57.3,202
83,Pride & Prejudice,2005,7.8,82.0,252829,38.41,129
84,American Beauty,1999,8.3,84.0,1057544,130.1,122
85,The Irishman,2019,7.9,94.0,312488,7.0,209
86,Gone Girl,2014,8.1,79.0,843786,167.77,149
